family,condition,exposure_k,n_updates,probe_sr,w_norm
fork_trap,no_tutor,0,0,0.3,1.0
fork_trap,no_tutor,1,3,0.3,1.3702
fork_trap,no_tutor,3,13,0.3,1.6457
fork_trap,no_tutor,10,45,0.3,1.6734
fork_trap,no_tutor,30,140,0.3,1.464
fork_trap,robot_belief_post,0,0,0.3,1.0
fork_trap,robot_belief_post,1,7,0.3,1.444
fork_trap,robot_belief_post,3,35,0.3,1.2406
fork_trap,robot_belief_post,10,106,0.3,1.2671
fork_trap,robot_belief_post,30,330,0.3,1.4162
hazard_belt,no_tutor,0,0,0.5,1.0
hazard_belt,no_tutor,1,18,0.5,1.0602
hazard_belt,no_tutor,3,34,0.5,1.1286
hazard_belt,no_tutor,10,96,0.5,1.3826
hazard_belt,no_tutor,30,401,0.5,1.5758
hazard_belt,robot_belief_post,0,0,0.5,1.0
hazard_belt,robot_belief_post,1,35,0.5,1.0931
hazard_belt,robot_belief_post,3,71,0.5,1.3428
hazard_belt,robot_belief_post,10,263,0.5,0.908
hazard_belt,robot_belief_post,30,818,0.5,1.4766
deadline_gate,no_tutor,0,0,1.0,1.0
deadline_gate,no_tutor,1,3,1.0,1.181
deadline_gate,no_tutor,3,36,1.0,0.9725
deadline_gate,no_tutor,10,172,1.0,0.9824
deadline_gate,no_tutor,30,727,1.0,1.7523
deadline_gate,robot_belief_post,0,0,1.0,1.0
deadline_gate,robot_belief_post,1,26,1.0,nan
deadline_gate,robot_belief_post,3,78,1.0,nan
deadline_gate,robot_belief_post,10,260,1.0,nan
deadline_gate,robot_belief_post,30,780,1.0,nan
