family,n_train_labels,n_updates,probe_sr,mse_cost,mse_risk,w_norm
fork_trap,10,6,0.3,0.011495,0.076916,1.0383
fork_trap,50,27,0.3,0.005846,0.069535,0.9673
fork_trap,200,140,0.3,0.008124,0.08406,0.9906
fork_trap,1000,727,0.3,0.013536,0.078569,1.0282
hazard_belt,10,6,0.5,0.07937,0.127189,0.9972
hazard_belt,50,27,0.5,0.03653,0.098558,1.0214
hazard_belt,200,138,0.5,0.020715,0.095024,1.0747
hazard_belt,1000,714,0.5,0.01519,0.077725,1.1307
deadline_gate,10,7,1.0,0.069708,0.021695,1.0908
deadline_gate,50,25,1.0,0.027804,0.028962,0.9673
deadline_gate,200,120,1.0,0.049193,0.027932,0.9723
deadline_gate,1000,635,1.0,0.088628,0.029131,1.2959
