episode_id,family,condition,seed,n_steps,mean_delta_theta,max_delta_theta,mean_delta_theta_c,mean_delta_theta_r,mean_delta_B_latent,mean_delta_B_pred,bar,n_non_wait,success,death,steps,unlocks,warns
fork_trap_no_tutor_s0,fork_trap,no_tutor,0,3,0.298093,0.852,0.032275,0.201089,0.0,0.0,0.0,0,0,1,3,0,0
fork_trap_no_tutor_s1,fork_trap,no_tutor,1,5,0.267097,1.040375,0.015803,0.172702,0.0,0.0,0.0,0,0,1,5,0,0
fork_trap_no_tutor_s2,fork_trap,no_tutor,2,5,0.301256,1.226153,0.037838,0.227759,0.0,0.0,0.0,0,0,1,5,0,0
fork_trap_no_tutor_s3,fork_trap,no_tutor,3,5,0.225307,0.926878,0.025485,0.149448,0.0,0.0,0.0,0,0,1,5,0,0
fork_trap_no_tutor_s4,fork_trap,no_tutor,4,5,0.36405,1.368224,0.017787,0.279564,0.0,0.0,0.0,0,0,1,5,0,0
fork_trap_warning_only_s0,fork_trap,warning_only,0,3,0.298093,0.852,0.032275,0.201089,0.0,0.0,0.0,0,0,1,3,0,0
fork_trap_warning_only_s1,fork_trap,warning_only,1,5,0.267097,1.040375,0.015803,0.172702,0.0,0.0,0.0,0,0,1,5,0,0
fork_trap_warning_only_s2,fork_trap,warning_only,2,5,0.301256,1.226153,0.037838,0.227759,0.0,0.0,0.0,0,0,1,5,0,0
fork_trap_warning_only_s3,fork_trap,warning_only,3,5,0.225307,0.926878,0.025485,0.149448,0.0,0.0,0.0,0,0,1,5,0,0
fork_trap_warning_only_s4,fork_trap,warning_only,4,5,0.36405,1.368224,0.017787,0.279564,0.0,0.0,0.0,0,0,1,5,0,0
fork_trap_robot_belief_pre_s0,fork_trap,robot_belief_pre,0,3,0.354321,0.693572,0.032106,0.206375,0.0,0.0,1.0,3,0,1,3,0,1
fork_trap_robot_belief_pre_s1,fork_trap,robot_belief_pre,1,11,0.051727,0.312305,0.001507,0.026111,0.0,0.0,1.0,11,1,0,11,0,1
fork_trap_robot_belief_pre_s2,fork_trap,robot_belief_pre,2,5,0.362469,1.102979,0.037082,0.250776,0.0,0.0,1.0,5,0,1,5,0,1
fork_trap_robot_belief_pre_s3,fork_trap,robot_belief_pre,3,5,0.29616,0.845532,0.025533,0.185505,0.0,0.0,1.0,5,0,1,5,0,1
