FAIL s=0 safe=29 any=29 d=0 lens=[('lower', 6, 5), ('lower', 6, 5), ('lower', 6, 5)]
FAIL s=2 safe=32 any=32 d=0 lens=[('lower', 6, 5), ('upper', 4, 5), ('upper', 4, 6)]
FAIL s=5 safe=29 any=29 d=0 lens=[('upper', 5, 6), ('upper', 5, 6), ('upper', 4, 6)]
FAIL s=7 safe=29 any=29 d=0 lens=[('upper', 5, 6), ('upper', 5, 6), ('upper', 5, 6)]
FAIL s=8 safe=27 any=27 d=0 lens=[('upper', 5, 6), ('upper', 4, 5), ('upper', 4, 5)]
FAIL s=9 safe=32 any=32 d=0 lens=[('upper', 4, 5), ('lower', 6, 5), ('lower', 6, 5)]
FAIL s=11 safe=28 any=28 d=0 lens=[('upper', 4, 5), ('upper', 4, 6), ('upper', 5, 6)]
FAIL s=12 safe=32 any=32 d=0 lens=[('lower', 6, 5), ('upper', 4, 5), ('upper', 5, 6)]
FAIL s=13 safe=29 any=29 d=0 lens=[('upper', 5, 6), ('upper', 5, 6), ('upper', 5, 6)]
FAIL s=14 safe=28 any=28 d=0 lens=[('lower', 5, 4), ('lower', 6, 5), ('lower', 6, 5)]
FAIL s=17 safe=33 any=33 d=0 lens=[('upper', 5, 6), ('lower', 6, 5), ('lower', 6, 4)]
FAIL s=19 safe=27 any=27 d=0 lens=[('upper', 5, 6), ('upper', 4, 5), ('upper', 4, 5)]
FAIL s=20 safe=32 any=32 d=0 lens=[('lower', 6, 5), ('upper', 4, 6), ('upper', 4, 5)]
FAIL s=21 safe=33 any=33 d=0 lens=[('lower', 6, 4), ('upper', 5, 6), ('upper', 4, 6)]
FAIL s=23 safe=32 any=32 d=0 lens=[('upper', 4, 6), ('lower', 6, 5), ('lower', 5, 4)]
FAIL s=24 safe=32 any=32 d=0 lens=[('lower', 5, 4), ('upper', 4, 6), ('upper', 5, 6)]
FAIL s=26 safe=32 any=32 d=0 lens=[('lower', 6, 5), ('upper', 4, 5), ('upper', 5, 6)]
FAIL s=27 safe=31 any=31 d=0 lens=[('upper', 4, 5), ('lower', 6, 5), ('lower', 5, 4)]
FAIL s=29 safe=28 any=28 d=0 lens=[('upper', 5, 6), ('upper', 4, 5), ('upper', 5, 6)]
FAIL s=31 safe=33 any=33 d=0 lens=[('lower', 6, 5), ('upper', 5, 6), ('upper', 4, 6)]
FAIL s=32 safe=28 any=28 d=0 lens=[('lower', 6, 5), ('lower', 5, 4), ('lower', 6, 5)]
FAIL s=34 safe=31 any=31 d=0 lens=[('lower', 6, 4), ('upper', 4, 5), ('upper', 4, 5)]
FAIL s=35 safe=28 any=28 d=0 lens=[('lower', 5, 4), ('lower', 6, 4), ('lower', 6, 5)]
FAIL s=40 safe=29 any=29 d=0 lens=[('lower', 6, 5), ('lower', 6, 5), ('lower', 6, 4)]
FAIL s=41 safe=33 any=33 d=0 lens=[('lower', 6, 5), ('upper', 5, 6), ('upper', 5, 6)]
FAIL s=42 safe=32 any=32 d=0 lens=[('lower', 5, 4), ('upper', 5, 6), ('upper', 5, 6)]
FAIL s=45 safe=29 any=29 d=0 lens=[('upper', 5, 6), ('upper', 5, 6), ('upper', 5, 6)]
FAIL s=47 safe=33 any=33 d=0 lens=[('lower', 6, 4), ('upper', 5, 6), ('upper', 5, 6)]
FAIL s=48 safe=33 any=33 d=0 lens=[('lower', 6, 4), ('upper', 4, 6), ('upper', 4, 6)]
FAIL s=49 safe=28 any=28 d=0 lens=[('upper', 4, 6), ('upper', 4, 5), ('upper', 5, 6)]
