family,seed,margin_pre,margin_post,delta_margin,route_flip,action_pre,action_post,n_candidates_pre,n_candidates_post,delta_theta,n_updates,mean_risky_cost_pre,mean_risky_cost_post,mean_safe_cost_pre,mean_safe_cost_post,risky_vs_safe_gap_pre,risky_vs_safe_gap_post,rank_correct_post
fork_trap,0,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,0.689043,106,4.4657,6.23,4.4657,6.23,0.0,0.0,-1
fork_trap,1,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,0.689043,106,4.4657,6.23,4.4657,6.23,0.0,0.0,-1
fork_trap,2,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,0.689043,106,4.4657,6.23,4.4657,6.23,0.0,0.0,-1
fork_trap,3,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,0.689043,106,4.4657,6.23,4.4657,6.23,0.0,0.0,-1
fork_trap,4,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,0.689043,106,4.4657,6.23,4.4657,6.23,0.0,0.0,-1
fork_trap,5,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,0.689043,106,4.4657,6.23,4.4657,6.23,0.0,0.0,-1
fork_trap,6,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,0.689043,106,4.4657,6.23,4.4657,6.23,0.0,0.0,-1
fork_trap,7,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,0.689043,106,4.4657,6.23,4.4657,6.23,0.0,0.0,-1
fork_trap,8,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,0.689043,106,4.4657,6.23,4.4657,6.23,0.0,0.0,-1
fork_trap,9,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,0.689043,106,4.4657,6.23,4.4657,6.23,0.0,0.0,-1
hazard_belt,0,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,0.207537,263,4.4657,3.841,4.4657,3.841,0.0,0.0,-1
hazard_belt,1,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,0.207537,263,4.4657,3.841,4.4657,3.841,0.0,0.0,-1
hazard_belt,2,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,0.207537,263,4.4657,3.841,4.4657,3.841,0.0,0.0,-1
hazard_belt,3,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,0.207537,263,4.4657,3.841,4.4657,3.841,0.0,0.0,-1
hazard_belt,4,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,0.207537,263,4.4657,3.841,4.4657,3.841,0.0,0.0,-1
hazard_belt,5,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,0.207537,263,4.4657,3.841,4.4657,3.841,0.0,0.0,-1
hazard_belt,6,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,0.207537,263,4.4657,3.841,4.4657,3.841,0.0,0.0,-1
hazard_belt,7,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,0.207537,263,4.4657,3.841,4.4657,3.841,0.0,0.0,-1
hazard_belt,8,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,0.207537,263,4.4657,3.841,4.4657,3.841,0.0,0.0,-1
hazard_belt,9,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,0.207537,263,4.4657,3.841,4.4657,3.841,0.0,0.0,-1
deadline_gate,0,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,nan,260,0,0,0,0,0,0,-1
deadline_gate,1,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,nan,260,0,0,0,0,0,0,-1
deadline_gate,2,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,nan,260,0,0,0,0,0,0,-1
deadline_gate,3,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,nan,260,0,0,0,0,0,0,-1
deadline_gate,4,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,nan,260,0,0,0,0,0,0,-1
deadline_gate,5,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,nan,260,0,0,0,0,0,0,-1
deadline_gate,6,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,nan,260,0,0,0,0,0,0,-1
deadline_gate,7,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,nan,260,0,0,0,0,0,0,-1
deadline_gate,8,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,nan,260,0,0,0,0,0,0,-1
deadline_gate,9,0.0,0.0,0.0,0,"(2, 2)","(2, 2)",1,1,nan,260,0,0,0,0,0,0,-1
