family,seed,mean_risky_pre,mean_safe_pre,gap_pre,mean_risky_post,mean_safe_post,gap_post,delta_gap,risk_gap_pre,risk_gap_post,uc_gap_pre,uc_gap_post,branch_pre,branch_post,route_flip,delta_theta,n_updates,ex_risky_r_pre,ex_risky_r_post,ex_safe_r_pre,ex_safe_r_post
fork_trap,0,4.4657,inf,-inf,6.3137,inf,-inf,nan,3.4657,5.2474,0.0,0.0003,unknown,unknown,0,0.689043,106,0.5,0.6534,0,0
fork_trap,1,4.4657,inf,-inf,6.4384,inf,-inf,nan,3.4657,5.3784,0.0,0.0003,risky,risky,0,0.689043,106,0.5,0.6618,0,0
fork_trap,2,4.4657,inf,-inf,6.3155,inf,-inf,nan,3.4657,5.2491,0.0,0.0003,unknown,unknown,0,0.689043,106,0.5,0.6523,0,0
fork_trap,3,4.4657,inf,-inf,6.3125,inf,-inf,nan,3.4657,5.2465,0.0,0.0003,unknown,unknown,0,0.689043,106,0.5,0.652,0,0
fork_trap,4,4.4657,inf,-inf,6.3088,inf,-inf,nan,3.4657,5.243,0.0,0.0003,unknown,unknown,0,0.689043,106,0.5,0.6521,0,0
fork_trap,5,4.4657,inf,-inf,6.3172,inf,-inf,nan,3.4657,5.2507,0.0,0.0003,unknown,unknown,0,0.689043,106,0.5,0.6526,0,0
fork_trap,6,4.4657,inf,-inf,6.441,inf,-inf,nan,3.4657,5.381,0.0,0.0003,risky,risky,0,0.689043,106,0.5,0.6619,0,0
fork_trap,7,4.4657,inf,-inf,6.3122,inf,-inf,nan,3.4657,5.2461,0.0,0.0003,unknown,unknown,0,0.689043,106,0.5,0.6523,0,0
fork_trap,8,4.4657,inf,-inf,6.3181,inf,-inf,nan,3.4657,5.2516,0.0,0.0003,unknown,unknown,0,0.689043,106,0.5,0.6525,0,0
fork_trap,9,4.4657,inf,-inf,6.438,inf,-inf,nan,3.4657,5.378,0.0,0.0003,risky,risky,0,0.689043,106,0.5,0.6613,0,0
hazard_belt,0,4.4657,inf,-inf,3.9466,inf,-inf,nan,3.4657,3.0567,0.0,0.0003,risky,risky,0,0.207537,263,0.5,0.4576,0,0
hazard_belt,1,4.4657,inf,-inf,3.9471,inf,-inf,nan,3.4657,3.0571,0.0,0.0003,risky,risky,0,0.207537,263,0.5,0.4574,0,0
hazard_belt,2,4.4657,inf,-inf,3.9472,inf,-inf,nan,3.4657,3.0571,0.0,0.0003,risky,risky,0,0.207537,263,0.5,0.4574,0,0
hazard_belt,3,4.4657,inf,-inf,3.9475,inf,-inf,nan,3.4657,3.0574,0.0,0.0003,risky,risky,0,0.207537,263,0.5,0.4574,0,0
hazard_belt,4,4.4657,inf,-inf,3.9463,inf,-inf,nan,3.4657,3.0565,0.0,0.0003,risky,risky,0,0.207537,263,0.5,0.4573,0,0
hazard_belt,5,4.4657,inf,-inf,3.9482,inf,-inf,nan,3.4657,3.058,0.0,0.0003,risky,risky,0,0.207537,263,0.5,0.4573,0,0
hazard_belt,6,4.4657,inf,-inf,3.9465,inf,-inf,nan,3.4657,3.0567,0.0,0.0003,risky,risky,0,0.207537,263,0.5,0.4575,0,0
hazard_belt,7,4.4657,inf,-inf,3.9452,inf,-inf,nan,3.4657,3.0557,0.0,0.0003,risky,risky,0,0.207537,263,0.5,0.4572,0,0
hazard_belt,8,4.4657,inf,-inf,3.9469,inf,-inf,nan,3.4657,3.0569,0.0,0.0003,risky,risky,0,0.207537,263,0.5,0.4573,0,0
hazard_belt,9,4.4657,inf,-inf,3.9464,inf,-inf,nan,3.4657,3.0566,0.0,0.0003,risky,risky,0,0.207537,263,0.5,0.4574,0,0
