seed,family,variant,survived,reached_goal,steps,risky_entered,safe_branch_chosen,warn_count,unlock_count,necessary_warn,unnecessary_warn,necessary_segments,unnecessary_segments,delta_H,M_true_before,M_true_after,delta_nll_local
0,fork_trap,legacy_bias,False,False,3,1,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
1,fork_trap,legacy_bias,True,True,11,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
2,fork_trap,legacy_bias,False,False,5,3,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
3,fork_trap,legacy_bias,False,False,5,3,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
4,fork_trap,legacy_bias,True,True,11,2,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
5,fork_trap,legacy_bias,True,True,11,2,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
6,fork_trap,legacy_bias,True,True,11,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
7,fork_trap,legacy_bias,True,True,11,2,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
8,fork_trap,legacy_bias,False,False,3,1,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
9,fork_trap,legacy_bias,True,True,11,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
10,fork_trap,legacy_bias,True,True,11,2,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
11,fork_trap,legacy_bias,True,True,11,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
12,fork_trap,legacy_bias,True,True,11,2,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
13,fork_trap,legacy_bias,False,False,4,2,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
14,fork_trap,legacy_bias,True,True,11,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
15,fork_trap,legacy_bias,True,True,11,2,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
16,fork_trap,legacy_bias,False,False,4,2,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
17,fork_trap,legacy_bias,True,True,11,2,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
18,fork_trap,legacy_bias,True,True,11,2,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
19,fork_trap,legacy_bias,True,True,11,2,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
20,fork_trap,legacy_bias,False,False,4,2,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
21,fork_trap,legacy_bias,True,True,11,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
22,fork_trap,legacy_bias,False,False,5,3,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
23,fork_trap,legacy_bias,True,True,11,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
24,fork_trap,legacy_bias,True,True,11,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
25,fork_trap,legacy_bias,False,False,8,2,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
26,fork_trap,legacy_bias,False,False,8,2,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
27,fork_trap,legacy_bias,True,True,11,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
28,fork_trap,legacy_bias,False,False,5,3,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
29,fork_trap,legacy_bias,False,False,8,2,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
30,fork_trap,legacy_bias,True,True,11,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
31,fork_trap,legacy_bias,False,False,5,3,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
32,fork_trap,legacy_bias,False,False,5,3,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
33,fork_trap,legacy_bias,False,False,5,3,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
34,fork_trap,legacy_bias,True,True,11,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
35,fork_trap,legacy_bias,True,True,11,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
36,fork_trap,legacy_bias,True,True,11,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
37,fork_trap,legacy_bias,True,True,11,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
38,fork_trap,legacy_bias,True,True,11,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
39,fork_trap,legacy_bias,False,False,8,2,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
40,fork_trap,legacy_bias,True,True,11,2,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
41,fork_trap,legacy_bias,False,False,3,1,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
42,fork_trap,legacy_bias,True,True,11,0,True,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
43,fork_trap,legacy_bias,True,True,11,2,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
44,fork_trap,legacy_bias,False,False,5,3,False,1,0,1,0,1,0,0.0,0.25,0.25,-0.638
